strategy,phase,code,signal_date,entry_date,entry_price,entry_shares,entry_cost_jpy,initial_stop,exit_date,exit_price,exit_shares,exit_reason,pnl_jpy,trade_return,holding_calendar_days
S1_V2_FOUNDATION,discovery,8750,2021-11-25,2021-11-26,589.7,100.0,58970.00000000001,590.4,2021-11-29,573.625,100.0,SMA75_CLOSE_BREAK_NEXT_OPEN,-1607.5000000000073,-0.027259623537392013,3
S1_V2_FOUNDATION,discovery,8053,2021-12-03,2021-12-06,400.70000000000005,100.0,40070.00000000001,400.70000000000005,2021-12-07,404.25,100.0,SMA75_CLOSE_BREAK_NEXT_OPEN,354.9999999999927,0.008859495882205956,1
S1_V2_FOUNDATION,discovery,6501,2021-10-08,2021-10-11,1277.199951171875,100.0,127719.9951171875,1276.0,2021-12-09,1325.0,100.0,SMA75_CLOSE_BREAK_NEXT_OPEN,4780.0048828125,0.037425658201965015,59
S1_V2_FOUNDATION,discovery,9432,2021-12-07,2021-12-08,126.55999755859375,100.0,12655.999755859375,125.80000000000001,2021-12-09,124.5999984741211,100.0,SMA75_CLOSE_BREAK_NEXT_OPEN,-195.99990844726562,-0.015486718728524243,1
S1_V2_FOUNDATION,discovery,4689,2021-12-08,2021-12-09,733.4000244140625,100.0,73340.00244140625,731.5,2021-12-10,721.5999755859375,100.0,SMA75_CLOSE_BREAK_NEXT_OPEN,-1180.0048828125,-0.016089512456114858,1
S1_V2_FOUNDATION,discovery,4568,2021-12-14,2021-12-15,2851.0,100.0,285100.0,2854.0,2021-12-16,2902.0,100.0,SMA75_CLOSE_BREAK_NEXT_OPEN,5100.0,0.017888460189407224,1
S1_V2_FOUNDATION,discovery,5802,2021-12-15,2021-12-16,387.0,100.0,38700.0,381.6,2021-12-17,381.6,100.0,STOP_INTRADAY,-540.0,-0.013953488372093023,1
S1_V2_FOUNDATION,discovery,6723,2021-12-22,2021-12-23,1412.0,100.0,141200.0,1404.0,2021-12-27,1404.0,100.0,STOP_INTRADAY,-800.0,-0.0056657223796034,4
S1_V2_FOUNDATION,discovery,4507,2022-01-06,2022-01-07,2577.666748046875,100.0,257766.6748046875,2552.0,2022-01-11,2538.666748046875,100.0,STOP_GAP_OPEN,-3900.0,-0.015129962020711447,4
S1_V2_FOUNDATION,discovery,9101,2022-01-26,2022-01-27,2793.333251953125,100.0,279333.3251953125,2726.0,2022-01-28,2730.0,100.0,SMA75_CLOSE_BREAK_NEXT_OPEN,-6333.3251953125,-0.022673002553075895,1
S1_V2_FOUNDATION,discovery,8591,2022-01-28,2022-01-31,2336.0,100.0,233600.0,2317.5,2022-02-22,2317.5,100.0,STOP_INTRADAY,-1850.0,-0.007919520547945206,22
S1_V2_FOUNDATION,discovery,7751,2022-02-25,2022-02-28,2721.5,100.0,272150.0,2722.0,2022-03-01,2718.0,100.0,SMA75_CLOSE_BREAK_NEXT_OPEN,-350.0,-0.0012860554841080288,1
S1_V2_FOUNDATION,discovery,8316,2022-03-03,2022-03-04,1357.6666259765625,100.0,135766.66259765625,1352.0,2022-03-07,1325.0,100.0,SMA75_CLOSE_BREAK_NEXT_OPEN,-3266.66259765625,-0.024060859530273544,3
S1_V2_FOUNDATION,discovery,8604,2022-03-03,2022-03-04,516.7999877929688,100.0,51679.998779296875,513.6,2022-03-07,499.0,100.0,SMA75_CLOSE_BREAK_NEXT_OPEN,-1779.998779296875,-0.03444270165133879,3
S1_V2_FOUNDATION,discovery,8309,2022-03-03,2022-03-04,511.875,100.0,51187.5,495.3,2022-03-07,493.125,100.0,STOP_GAP_OPEN,-1875.0,-0.03663003663003663,3
S1_V2_FOUNDATION,discovery,8725,2022-03-10,2022-03-11,1264.0,100.0,126400.0,1247.5,2022-04-06,1274.3333740234375,100.0,SMA75_CLOSE_BREAK_NEXT_OPEN,1033.33740234375,0.008175137676770174,26
S1_V2_FOUNDATION,discovery,5020,2022-04-13,2022-04-14,454.40000000000003,100.0,45440.0,454.70000000000005,2022-04-15,454.20001220703125,100.0,SMA75_CLOSE_BREAK_NEXT_OPEN,-19.998779296875,-0.00044011398100517163,1
